Date;Close;Open;High;Low;Variation;
Jul 11, 2016;1.1058;1.1050;1.1076;1.1014;0,13 %;
Jul 10, 2016;1.1044;1.1050;1.1054;1.1042;-0,10 %;
Jul 08, 2016;1.1055;1.1060;1.1115;1.0999;-0,07 %;
Jul 07, 2016;1.1063;1.1097;1.1113;1.1049;-0,32 %;
Jul 06, 2016;1.1099;1.1074;1.1112;1.1029;0,21 %;
Jul 05, 2016;1.1076;1.1153;1.1184;1.1058;-0,72 %;
Jul 04, 2016;1.1156;1.1140;1.1166;1.1095;0,25 %;
Jul 03, 2016;1.1128;1.1130;1.1138;1.1126;-0,07 %;
Jul 01, 2016;1.1136;1.1103;1.1169;1.1069;0,28 %;
Jun 30, 2016;1.1105;1.1123;1.1157;1.1022;-0,18 %;
Jun 29, 2016;1.1125;1.1063;1.1131;1.1046;0,53 %;
Jun 28, 2016;1.1066;1.1024;1.1112;1.1006;0,36 %;
Jun 27, 2016;1.1026;1.1068;1.1087;1.0968;-0,13 %;
Jun 26, 2016;1.1040;1.1010;1.1075;1.1008;-0,69 %;
Jun 24, 2016;1.1117;1.1390;1.1434;1.0909;-2,38 %;
Jun 23, 2016;1.1388;1.1294;1.1424;1.1293;0,81 %;
Jun 22, 2016;1.1297;1.1240;1.1339;1.1234;0,49 %;
Jun 21, 2016;1.1242;1.1310;1.1351;1.1239;-0,64 %;
Jun 20, 2016;1.1314;1.1281;1.1386;1.1280;-0,29 %;
Jun 19, 2016;1.1347;1.1334;1.1358;1.1308;0,62 %;
Jun 17, 2016;1.1277;1.1223;1.1299;1.1218;0,45 %;
Jun 16, 2016;1.1226;1.1257;1.1298;1.1129;-0,29 %;
Jun 15, 2016;1.1259;1.1203;1.1299;1.1188;0,46 %;
Jun 14, 2016;1.1208;1.1291;1.1304;1.1186;-0,74 %;
Jun 13, 2016;1.1292;1.1251;1.1304;1.1231;0,47 %;
Jun 12, 2016;1.1239;1.1251;1.1254;1.1235;-0,11 %;
Jun 10, 2016;1.1251;1.1315;1.1329;1.1243;-0,57 %;
Jun 09, 2016;1.1316;1.1397;1.1417;1.1303;-0,68 %;
Jun 08, 2016;1.1394;1.1356;1.1412;1.1347;0,32 %;
Jun 07, 2016;1.1358;1.1353;1.1382;1.1336;0,03 %;
Jun 06, 2016;1.1355;1.1349;1.1396;1.1325;0,04 %;
Jun 05, 2016;1.1351;1.1356;1.1372;1.1345;-0,14 %;
Jun 03, 2016;1.1367;1.1150;1.1377;1.1134;1,94 %;
Jun 02, 2016;1.1151;1.1187;1.1221;1.1140;-0,33 %;
Jun 01, 2016;1.1188;1.1130;1.1198;1.1111;0,50 %;
