"txid","refid","time","type","aclass","asset","amount","fee","balance"
"L3A6TT-EAWT4-JUWSX5","TRZMEP-AKXHX-Y63HZT","2016-03-06 15:59:24","trade","currency","XXBT",0.2579980000,0.0004130000,16.9167281100
"L5YUXZ-4NU52-FDG3FQ","TNFZY4-JNWVM-YDKLNY","2016-03-06 15:59:24","trade","currency","XETH",-549.0064894300,0.0000000000,27371.2481943500
"LNG4SN-OTS7Z-PBRFLK","TNFZY4-JNWVM-YDKLNY","2016-03-06 15:59:24","trade","currency","XXBT",14.1923670000,0.0227080000,31.0863871100
"LKS5FR-GX5EE-P74YSW","TUAYB5-A2DEU-GIZSNC","2016-03-06 15:59:24","trade","currency","XETH",-0.8695480200,0.0000000000,27370.3786463300
"LORDZ3-5TLKK-EDESM6","TUAYB5-A2DEU-GIZSNC","2016-03-06 15:59:24","trade","currency","XXBT",0.0224780000,0.0000360000,31.1088291100
"LQYGTM-AJXZ5-DTCWWW","TC3ZTA-W2LOM-5RTXC2","2016-03-06 15:59:26","trade","currency","XETH",-46.0000000000,0.0000000000,27324.3786463300
"LLZGLJ-6DPJF-HWIYWB","TC3ZTA-W2LOM-5RTXC2","2016-03-06 15:59:26","trade","currency","XXBT",1.1886400000,0.0019020000,32.2955671100
"LP6WGP-IWOZD-B6VV4J","TB2GOI-5DJB5-XTW6LW","2016-03-06 15:59:29","trade","currency","XETH",-1.8500000000,0.0000000000,27322.5286463300
"LSRY7Q-YAZXG-4MI2LU","TB2GOI-5DJB5-XTW6LW","2016-03-06 15:59:29","trade","currency","XXBT",0.0478260000,0.0000770000,32.3433161100
"LWGQSE-CPO7W-UU74DO","TIY2TV-7CX47-XRLEFL","2016-03-06 15:59:30","trade","currency","XETH",-12.5260384800,0.0000000000,27310.0026078500
"LZIHR4-73CUO-VSZNV4","TIY2TV-7CX47-XRLEFL","2016-03-06 15:59:30","trade","currency","XXBT",0.3231720000,0.0008400000,32.6656481100
"LIUA3X-Q4NAV-E2TMWD","TOYGON-OMYKN-4LYWDD","2016-03-06 15:59:30","trade","currency","XETH",-27.1716766500,0.0000000000,27282.8309312000
"LVZNWI-47YXR-6FMXJE","TOYGON-OMYKN-4LYWDD","2016-03-06 15:59:30","trade","currency","XXBT",0.6991270000,0.0018180000,33.3629571100
"LQ7GBB-VELMA-6KED7N","T6KVL6-KCLKW-BGIUM5","2016-03-06 15:59:30","trade","currency","XETH",-31.1569047100,0.0000000000,27251.6740264900
"LCOKLG-AK2KT-X66VOB","T6KVL6-KCLKW-BGIUM5","2016-03-06 15:59:30","trade","currency","XXBT",0.8013560000,0.0020840000,34.1622291100
